name,year,mean,variance,population
Albania,2001,8.17822,0.2602634,3490.304
Albania,2002,8.197057,0.260159,3508.512
Albania,2003,8.193214,0.2795977,3526.642
Albania,2004,8.251363,0.3197164,3547.184
Albania,2005,8.29931,0.3197164,3567.655
Albania,2006,8.345603,0.3197164,3576.575
Algeria,1970,8.098288,0.5383215,13931.85
Algeria,1971,7.985364,0.5383215,14335.39
Algeria,1972,8.172629,0.5383215,14760.79
Algeria,1973,8.131974,0.5383215,15197.72
Algeria,1974,8.046888,0.5383215,15653.2
Algeria,1975,8.034792,0.5383215,16140.25
Algeria,1976,8.115956,0.5383215,16634.62
Algeria,1977,8.106027,0.5383215,17152.8
Algeria,1978,8.146872,0.5383215,17703.17
Algeria,1979,8.312332,0.5383215,18265.82
Algeria,1980,8.266951,0.5383215,18861.62
Algeria,1981,8.238375,0.5383215,19483.51
Algeria,1982,8.287311,0.5383215,20132.48
Algeria,1983,8.30885,0.5383215,20803.35
Algeria,1984,8.3422,0.5383215,21487.93
Algeria,1985,8.341842,0.5383215,22182.25
Algeria,1986,8.389706,0.5383215,22843.79
Algeria,1987,8.419367,0.5383215,23484.73
Algeria,1988,8.357901,0.5383215,24102.04
Algeria,1989,8.368549,0.5203928,24722.19
Algeria,1990,8.375154,0.502845,25341.27
Algeria,1991,8.377978,0.4856721,25957.84
Algeria,1992,8.399286,0.4688686,26569.76
Algeria,1993,8.373487,0.4524286,27175.82
Algeria,1994,8.343454,0.4363471,27774.61
Algeria,1995,8.369529,0.4206185,28364.07
Algeria,1996,8.404257,0.4206185,28945.55
Algeria,1997,8.393884,0.4206185,29520.71
Algeria,1998,8.403656,0.4206185,30088.21
Algeria,1999,8.422108,0.4206185,30646.45
Algeria,2000,8.447188,0.4206185,31193.92
Algeria,2001,8.442469,0.4206185,31736.05
Algeria,2002,8.442032,0.4206185,32277.94
Algeria,2003,8.488095,0.4206185,32818.5
Algeria,2004,8.523471,0.4206185,33325.05
Algeria,2005,8.559895,0.4206185,33836.12
Algeria,2006,8.574524,0.4206185,34345.05
Angola,1970,7.898491,0.9146095,5605.626
Angola,1971,7.899678,0.9136077,5750.918
Angola,1972,7.891937,0.9127713,5891.46
Angola,1973,7.946125,0.9123361,6021.363
Angola,1974,7.869824,0.9122338,5978.351
Angola,1975,7.43224,0.9123968,5879.161
Angola,1976,7.310881,0.9144987,5938.196
Angola,1977,7.304065,0.9242229,6160.551
Angola,1978,7.332066,0.9300063,6279.345
Angola,1979,7.321944,0.9351943,6449.864
Angola,1980,7.339062,0.9398322,6736.233
Angola,1981,7.232503,0.9432715,6877.112
Angola,1982,7.189402,0.9463946,7019.694
Angola,1983,7.235155,0.9492823,7143.123
Angola,1984,7.252896,0.9525197,7256.485
Angola,1985,7.295832,0.956233,7398.828
Angola,1986,7.295765,0.9576771,7543.879
Angola,1987,7.355933,0.9577248,7669.339
Angola,1988,7.410835,0.9473513,7804.957
Angola,1989,7.375307,0.9607844,7918.711
Angola,1990,7.338263,0.9619459,8048.879
Angola,1991,7.306523,0.9577539,8236.59
Angola,1992,7.325874,0.8973901,8471.931
Angola,1993,6.826036,0.92183,8689.184
Angola,1994,6.828713,0.9090366,8893.774
Angola,1995,6.925057,0.906805,9218.131
Angola,1996,7.007169,0.9104888,9443.493
Angola,1997,6.988504,0.9096903,9560.422
Angola,1998,7.158748,0.918593,9735.736
Angola,1999,7.316388,0.8928845,9921.779
Angola,2000,7.155063,0.8664989,10132.38
Angola,2001,7.203836,0.8528923,10341.98
Angola,2002,7.240844,0.8460247,10553.55
Angola,2003,7.28973,0.8364569,10766.47
Angola,2004,7.367877,0.8341235,11083.55
Angola,2005,7.526574,0.8341235,11406.5
Angola,2006,7.6347,0.8341235,11728.48
Antigua,1970,8.09362,0.9035668,65.624
Antigua,1971,8.062839,0.8904561,66.354
Antigua,1972,8.122209,0.8776076,67.016
Antigua,1973,8.08247,0.8685472,67.532
Antigua,1974,8.115047,0.8613497,67.836
Antigua,1975,8.059492,0.8535805,68.041
Antigua,1976,7.963646,0.848251,68.361
Antigua,1977,8.030315,0.8450985,68.637
Antigua,1978,8.035404,0.8429676,68.608
Antigua,1979,8.159574,0.8400469,68.519
Antigua,1980,8.16734,0.8412091,68.546
Antigua,1981,8.158374,0.8436588,68.264
Antigua,1982,8.2178,0.845341,68.008
Antigua,1983,8.433686,0.8472997,65.434
Antigua,1984,8.449469,0.8446895,64.105
Antigua,1985,8.492105,0.8536143,63.852
Antigua,1986,8.546073,0.8522602,63.675
Antigua,1987,8.551,0.8517985,63.51
Antigua,1988,8.754827,0.8549145,63.339
Antigua,1989,8.777971,0.8687273,63.118
Antigua,1990,8.857682,0.8576504,62.721
Antigua,1991,8.853212,0.8545671,62.41
Antigua,1992,8.895385,0.8482676,62.453
Antigua,1993,8.959806,0.8638144,62.724
Antigua,1994,9.004465,0.8756407,63.126
Antigua,1995,8.952497,0.8827135,63.63
Antigua,1996,8.973189,0.9102327,64.181
Antigua,1997,9.017076,0.9036236,64.774
Antigua,1998,9.068491,0.9093,65.366
Antigua,1999,9.094435,0.9137163,65.929
Antigua,2000,9.100457,0.9019386,66.464
Antigua,2001,9.106733,0.9248416,66.97
Antigua,2002,9.169362,0.9292183,67.448
Antigua,2003,9.21147,0.915789,67.897
Antigua,2004,9.275514,0.8929704,69.04801
Antigua,2005,9.317863,0.8779249,70.21938
Antigua,2006,9.38533,0.8770512,70.92
Argentina,1970,8.968981,0.4465332,23962.31
Argentina,1971,9.015264,0.3989436,24363.82
Argentina,1972,9.022535,0.3843239,24779.8
Argentina,1973,9.026997,0.418066,25209.83
Argentina,1974,9.047901,0.4535393,25646.37
Argentina,1975,9.026948,0.4529312,26081.88
Argentina,1976,8.99843,0.4641941,26531.28
Argentina,1977,9.026054,0.4938695,26983.83
Argentina,1978,8.960472,0.5359536,27440.27
Argentina,1979,8.996539,0.5836467,27901.97
Argentina,1980,8.984139,0.6285847,28369.8
Argentina,1981,8.889178,0.6708201,28862.83
Argentina,1982,8.827785,0.6648422,29341.37
Argentina,1983,8.857849,0.6507304,29801.76
Argentina,1984,8.875404,0.6341488,30235.57
Argentina,1985,8.790236,0.6204725,30675.06
Argentina,1986,8.853651,0.6147953,31145.97
Argentina,1987,8.838763,0.6665286,31620.92
Argentina,1988,8.764866,0.7307658,32090.94
Argentina,1989,8.667238,0.7480424,32558.57
Argentina,1990,8.631432,0.7597433,33022.2
Argentina,1991,8.730784,0.7640372,33491.59
Argentina,1992,8.856711,0.7142367,33958.95
Argentina,1993,8.917089,0.6892076,34411.98
Argentina,1994,8.942132,0.7215245,34864.44
Argentina,1995,8.849982,0.8305695,35311.05
Argentina,1996,8.873845,0.8462626,35753.59
Argentina,1997,8.938144,0.8421779,36203.46
Argentina,1998,8.931094,0.91228,36643.77
Argentina,1999,8.923213,0.8687297,37073.83
Argentina,2000,8.872263,0.9262388,37497.73
Argentina,2001,8.77425,1.005764,37916.56
Argentina,2002,8.639146,1.052726,38331.12
Argentina,2003,8.710539,1.033404,38740.81
Argentina,2004,8.836175,0.9277846,39114.29
Argentina,2005,8.926654,0.902981,39497.18
Argentina,2006,9.034899,0.8296589,39877.71
Armenia,1970,,,
Armenia,1971,,,
Armenia,1972,,,
Armenia,1973,,,
Armenia,1974,,,
Armenia,1975,,,
Armenia,1976,,,
Armenia,1977,,,
Armenia,1978,,,
Armenia,1979,,,
Armenia,1980,,,
Armenia,1981,,,
Armenia,1982,,,
Armenia,1983,,,
Armenia,1984,,,
Armenia,1985,,,
Armenia,1986,,,
Armenia,1987,,,
Armenia,1988,,,
Armenia,1989,,,
Armenia,1990,7.197403,1.541773,3365.775
Armenia,1991,7.168305,1.541773,3412.836
Armenia,1992,7.109138,1.541773,3447.785
Armenia,1993,7.095664,1.541773,3458.468
Armenia,1994,7.032065,1.541773,3440.138
Armenia,1995,7.119945,1.541773,3413.547
Armenia,1996,7.17776,1.541773,3393.646
Armenia,1997,7.26159,1.354434,3377.788
Armenia,1998,7.421417,1.186576,3365.396
Armenia,1999,7.468674,1.186576,3354.286
Armenia,2000,7.559028,1.186576,3344.336
Armenia,2001,7.678675,1.186576,3336.1
Armenia,2002,7.7819,1.186576,3330.099
Armenia,2003,7.876002,1.186576,3326.448
Armenia,2004,7.97951,1.186576,3314.287
Armenia,2005,8.113774,1.186576,3303.578
Armenia,2006,8.242553,1.186576,3293.593
Australia,1970,9.431717,0.3287295,12728.36
Australia,1971,9.456406,0.3316194,12925.18
Australia,1972,9.471594,0.3361166,13104.72
Australia,1973,9.505725,0.3422848,13274.49
Australia,1974,9.478346,0.3502023,13445.16
Australia,1975,9.485954,0.359964,13624.51
Australia,1976,9.506566,0.3716824,13815.63
Australia,1977,9.491488,0.4140184,14016.59
Australia,1978,9.49017,0.484295,14224.08
Australia,1979,9.482475,0.5233805,14432.58
Australia,1980,9.561494,0.4127999,14638.33
Australia,1981,9.637897,0.3176375,14839.87
Australia,1982,9.605421,0.3215995,15039.31
Australia,1983,9.629891,0.3310423,15240.6
Australia,1984,9.652936,0.3422388,15449.33
Australia,1985,9.683747,0.3512184,15669.12
Australia,1986,9.68767,0.3564911,15901.93
Australia,1987,9.719378,0.3605352,16145.41
Australia,1988,9.736504,0.3651827,16393.62
Australia,1989,9.756819,0.3723248,16638.22
Australia,1990,9.723892,0.3960547,16873.33
Australia,1991,9.696225,0.4441154,17096.48
Australia,1992,9.685649,0.5085756,17309.78
Australia,1993,9.674939,0.5789087,17517.55
Australia,1994,9.677712,0.6405649,17726.31
Australia,1995,9.688602,0.6754661,17940.71
Australia,1996,9.711198,0.6858866,18162.01
Australia,1997,9.758011,0.6555791,18388.37
Australia,1998,9.780238,0.6883119,18617.56
Australia,1999,9.806901,0.6910576,18846.1
Australia,2000,9.813513,0.6919096,19071.46
Australia,2001,9.840016,0.6919096,19293.15
Australia,2002,9.862104,0.6919096,19511.97
Australia,2003,9.88942,0.6919096,19728.19
Australia,2004,9.893775,0.6919096,19942.41
Australia,2005,9.909664,0.6919096,20177.64
Australia,2006,9.923983,0.6919096,20368.16
Austria,1970,9.322517,0.2596805,7467.085
Austria,1971,9.368429,0.2596805,7498.721
Austria,1972,9.425694,0.2596805,7527.367
Austria,1973,9.47292,0.2596805,7551.465
Austria,1974,9.505443,0.2596805,7569.025
Austria,1975,9.498681,0.2596805,7578.903
Austria,1976,9.546351,0.2596805,7580.559
Austria,1977,9.598579,0.2596805,7575.226
Austria,1978,9.578533,0.2596805,7565.774
Austria,1979,9.658736,0.2596805,7556.155
Austria,1980,9.663115,0.2596805,7549.433
Austria,1981,9.663366,0.2596805,7546.851
Austria,1982,9.678695,0.2596805,7548.362
Austria,1983,9.702181,0.2596805,7554.197
Austria,1984,9.730241,0.2153282,7564.17
Austria,1985,9.777528,0.1826048,7578.261
Austria,1986,9.80199,0.1622495,7595.75
Austria,1987,9.820121,0.1551253,7617.091
Austria,1988,9.852142,0.1624651,7644.64
Austria,1989,9.880305,0.1822454,7681.502
Austria,1990,9.903292,0.2113132,7729.236
Austria,1991,9.910484,0.245713,7789.693
Austria,1992,9.907088,0.2798685,7860.428
Austria,1993,9.88835,0.306461,7933.473
Austria,1994,9.895709,0.3171474,7998.022
Austria,1995,9.912989,0.3113582,8046.535
Austria,1996,9.933995,0.3050696,8075.597
Austria,1997,9.95653,0.2984149,8087.934
Austria,1998,9.994272,0.2914641,8089.72
Austria,1999,10.028,0.2842433,8090.243
Austria,2000,10.06521,0.2767479,8096.246
Austria,2001,10.07225,0.2767479,8109.592
Austria,2002,10.07796,0.2767479,8128.132
Austria,2003,10.08599,0.2767479,8149.797
Austria,2004,10.1072,0.2767479,8171.082
Austria,2005,10.11791,0.2767479,8229.656
Austria,2006,10.14762,0.2767479,8236.382
Azerbaijan,1970,,,
Azerbaijan,1971,,,
Azerbaijan,1972,,,
Azerbaijan,1973,,,
Azerbaijan,1974,,,
Azerbaijan,1975,,,
Azerbaijan,1976,,,
Azerbaijan,1977,,,
Azerbaijan,1978,,,
Azerbaijan,1979,,,
Azerbaijan,1980,,,
Azerbaijan,1981,,,
Azerbaijan,1982,,,
Azerbaijan,1983,,,
Azerbaijan,1984,,,
Azerbaijan,1985,,,
Azerbaijan,1986,,,
Azerbaijan,1987,,,
Azerbaijan,1988,,,
Azerbaijan,1989,,,
Azerbaijan,1990,8.192938,0.2340607,7199.838
Azerbaijan,1991,8.151813,0.2581156,7308.339
Azerbaijan,1992,8.080994,0.281418,7413.618
Azerbaijan,1993,8.071136,0.3030736,7497.205
Azerbaijan,1994,7.938985,0.3281284,7572.945
Azerbaijan,1995,7.561481,0.3525132,7630.291
Azerbaijan,1996,7.48414,0.3597035,7668.253
Azerbaijan,1997,7.546574,0.3536604,7695.123
Azerbaijan,1998,7.674878,0.3491777,7714.005
Azerbaijan,1999,7.882855,0.344914,7729.131
Azerbaijan,2000,8.006758,0.3588384,7748.163
Azerbaijan,2001,8.059015,0.3585989,7771.092
Azerbaijan,2002,8.077312,0.357732,7798.497
Azerbaijan,2003,8.028841,0.3566024,7830.764
Azerbaijan,2004,8.115592,0.3598552,7899.58
Azerbaijan,2005,8.339107,0.3618384,7977.184
Azerbaijan,2006,8.625253,0.3618384,8059.354
Bahamas,1970,9.354334,0.7628088,170.323
Bahamas,1971,9.361961,0.734782,174.22
Bahamas,1972,9.314367,0.7119911,178.332
Bahamas,1973,9.376045,0.6937772,181.985
Bahamas,1974,9.180527,0.6795688,185.499
Bahamas,1975,9.006496,0.668863,189.139
Bahamas,1976,9.039855,0.6612103,193.257
Bahamas,1977,9.10738,0.6562015,197.499
Bahamas,1978,9.221056,0.6534573,201.499
Bahamas,1979,9.430649,0.6526197,206.15
Bahamas,1980,9.473821,0.659301,209.944
Bahamas,1981,9.414664,0.6767413,214.71
Bahamas,1982,9.433498,0.7010846,219.682
Bahamas,1983,9.465608,0.7282736,224.719
Bahamas,1984,9.453908,0.7538528,229.819
Bahamas,1985,9.465403,0.7729466,234.988
Bahamas,1986,9.465853,0.7804395,239.832
Bahamas,1987,9.579796,0.6327935,244.042
Bahamas,1988,9.649977,0.5048337,248.063
Bahamas,1989,9.661804,0.6901636,252.424
Bahamas,1990,9.626038,0.6116897,257.253
Bahamas,1991,9.623727,0.524557,260.335
Bahamas,1992,9.540119,0.5052042,264.085
Bahamas,1993,9.437529,0.6436481,268.189
Bahamas,1994,9.457631,0.6434882,271.881
Bahamas,1995,9.423334,0.6423693,275.303
Bahamas,1996,9.403801,0.6393387,278.571
Bahamas,1997,9.401946,0.6334643,281.577
Bahamas,1998,9.41246,0.623857,284.505
Bahamas,1999,9.516585,0.6097032,287.358
Bahamas,2000,9.561666,0.5903026,290.075
Bahamas,2001,9.544759,0.5651118,292.663
Bahamas,2002,9.551979,0.5337907,295.131
Bahamas,2003,9.57095,0.4962484,297.477
Bahamas,2004,9.588788,0.4962484,301.5553
Bahamas,2005,9.583812,0.4962484,304.4957
Bahamas,2006,9.584968,0.4962484,307.5278
Bahrain,1970,9.048625,0.6536468,219.543
Bahrain,1971,9.030449,0.664369,225.375
Bahrain,1972,9.018708,0.6639911,230.8
Bahrain,1973,8.950075,0.6650744,238.977
Bahrain,1974,9.448442,0.6649974,248.343
Bahrain,1975,9.500064,0.6647692,258.789
Bahrain,1976,9.566019,0.6642205,273.661
Bahrain,1977,9.647924,0.6631966,297.41
Bahrain,1978,9.56422,0.6617254,322.535
Bahrain,1979,9.535804,0.6598351,336.07
Bahrain,1980,9.513379,0.657554,347.568
Bahrain,1981,9.466436,0.6208167,363.427
Bahrain,1982,9.491749,0.5886976,377.967
Bahrain,1983,9.502109,0.5628012,393.022
Bahrain,1984,9.488297,0.5445947,408.282
Bahrain,1985,9.391785,0.5355446,423.95
Bahrain,1986,9.387634,0.5320165,439.556
Bahrain,1987,9.384972,0.5313689,454.612
Bahrain,1988,9.438567,0.5344502,469.484
Bahrain,1989,9.450572,0.5362669,484.791
Bahrain,1990,9.479668,0.5378178,500.476
Bahrain,1991,9.433618,0.5370903,515.234
Bahrain,1992,9.4808,0.5310783,529.491
Bahrain,1993,9.628062,0.504073,543.998
Bahrain,1994,9.430892,0.4739947,558.397
Bahrain,1995,9.513757,0.4458432,572.639
Bahrain,1996,9.509888,0.4471732,586.047
Bahrain,1997,9.507906,0.4527779,598.561
Bahrain,1998,9.524954,0.4382003,610.767
Bahrain,1999,9.583312,0.4357001,622.634
Bahrain,2000,9.617764,0.4319063,634.137
Bahrain,2001,9.643686,0.4268583,645.361
Bahrain,2002,9.635874,0.4204848,656.397
Bahrain,2003,9.675259,0.4127259,667.238
Bahrain,2004,9.721701,0.397009,676.6511
Bahrain,2005,9.775482,0.3929513,686.8573
Bahrain,2006,9.804193,0.3929513,697.6418
Bangladesh,1970,7.104662,0.4753406,67402.62
Bangladesh,1971,7.046135,0.4723141,69226.51
Bangladesh,1972,6.918852,0.4689959,70759.3
Bangladesh,1973,6.951469,0.4654128,72470.81
Bangladesh,1974,6.881919,0.4575597,74679.41
Bangladesh,1975,6.964857,0.4443543,76253.31
Bangladesh,1976,6.946127,0.4300849,77928.48
Bangladesh,1977,6.995407,0.4187599,80428.3
Bangladesh,1978,7.015568,0.4141541,82935.51
Bangladesh,1979,6.990466,0.4358781,85492.21
Bangladesh,1980,6.967245,0.4780375,88076.99
Bangladesh,1981,6.941014,0.5017422,90666
Bangladesh,1982,6.97649,0.4361693,93074.41
Bangladesh,1983,7.043374,0.3759683,95384.34
Bangladesh,1984,7.055563,0.3757536,97611.77
Bangladesh,1985,7.049808,0.3756331,99752.73
Bangladesh,1986,7.07098,0.3755955,101768.9
Bangladesh,1987,7.084443,0.3755955,103764.2
Bangladesh,1988,7.127181,0.3755955,105771.1
Bangladesh,1989,7.153449,0.3788936,107806.5
Bangladesh,1990,7.168663,0.3886056,109897
Bangladesh,1991,7.178795,0.4045831,111935.9
Bangladesh,1992,7.169912,0.4268192,113704.6
Bangladesh,1993,7.196145,0.4554206,115447.7
Bangladesh,1994,7.166731,0.4905838,117279.7
Bangladesh,1995,7.120008,0.5325747,119186.5
Bangladesh,1996,7.154514,0.5817114,121189.3
Bangladesh,1997,7.186015,0.5817114,123315.3
Bangladesh,1998,7.188273,0.5817114,125572.7
Bangladesh,1999,7.204741,0.5817114,127943.3
Bangladesh,2000,7.23271,0.5817114,130406.6
Bangladesh,2001,7.301446,0.5817114,132974.8
Bangladesh,2002,7.334476,0.5817114,135656.8
Bangladesh,2003,7.384247,0.5817114,138448.2
Bangladesh,2004,7.426217,0.5817114,141082.3
Bangladesh,2005,7.465508,0.5817114,143725.1
Bangladesh,2006,7.512856,0.5817114,146281.7
Barbados,1970,9.063628,0.5978663,238.756
Barbados,1971,9.084258,0.6242294,240.606
Barbados,1972,9.091052,0.6513437,242.445
Barbados,1973,9.063608,0.6792276,244.127
Barbados,1974,9.073359,0.7078999,245.563
Barbados,1975,8.984406,0.7373805,247.147
Barbados,1976,8.951934,0.7676905,248.023
Barbados,1977,8.976299,0.7988518,249.169
Barbados,1978,9.01239,0.8308876,250.145
Barbados,1979,9.089605,0.8308876,251.145
Barbados,1980,9.098035,0.8308876,251.966
Barbados,1981,9.05438,0.8308876,252.371
Barbados,1982,9.034118,0.8308876,253.511
Barbados,1983,9.049106,0.8308876,254.926
Barbados,1984,9.101748,0.8308876,256.239
Barbados,1985,9.091613,0.8308876,257.46
Barbados,1986,9.157495,0.8308876,258.527
Barbados,1987,9.188926,0.8308876,259.458
Barbados,1988,9.203386,0.8308876,260.336
Barbados,1989,9.21328,0.8308876,261.457
Barbados,1990,9.172806,0.8308876,262.639
Barbados,1991,9.155089,0.8308876,263.706
Barbados,1992,9.111216,0.8308876,264.934
Barbados,1993,9.077099,0.8308876,266.002
Barbados,1994,9.101044,0.8308876,266.955
Barbados,1995,9.132351,0.8308876,268.002
Barbados,1996,9.147822,0.8308876,269.087
Barbados,1997,9.16902,0.8308876,270.291
Barbados,1998,9.203601,0.8308876,271.5
Barbados,1999,9.235476,0.8308876,272.705
Barbados,2000,9.270261,0.8308876,273.894
Barbados,2001,9.233006,0.8308876,275.056
Barbados,2002,9.229908,0.8308876,276.182
Barbados,2003,9.246396,0.8308876,277.264
Barbados,2004,9.261344,0.8308876,277.9639
Barbados,2005,9.259114,0.8308876,278.9908
Barbados,2006,9.265641,0.8308876,279.9832
Belarus,1970,,,
Belarus,1971,,,
Belarus,1972,,,
Belarus,1973,,,
Belarus,1974,,,
Belarus,1975,,,
Belarus,1976,,,
Belarus,1977,,,
Belarus,1978,,,
Belarus,1979,,,
Belarus,1980,,,
Belarus,1981,,,
Belarus,1982,,,
Belarus,1983,,,
Belarus,1984,,,
Belarus,1985,,,
Belarus,1986,,,
Belarus,1987,,,
Belarus,1988,,,
Belarus,1989,,,
Belarus,1990,9.255051,0.1837678,10215.21
Belarus,1991,9.21602,0.1889498,10244.64
Belarus,1992,9.113612,0.1921315,10306.36
Belarus,1993,8.950912,0.1937767,10360.52
Belarus,1994,8.84743,0.1943847,10387.84
Belarus,1995,8.76268,0.1944717,10403.99
Belarus,1996,8.774239,0.1869917,10408.77
Belarus,1997,8.899315,0.1963715,10404.21
Belarus,1998,8.957431,0.1931596,10394.41
Belarus,1999,9.046199,0.1867085,10382.37
Belarus,2000,9.118034,0.1856247,10366.72
Belarus,2001,9.207004,0.1894977,10350.19
Belarus,2002,9.276461,0.1938098,10335.38
Belarus,2003,9.347255,0.1817157,10322.15
Belarus,2004,9.460684,0.1817157,10270.41
Belarus,2005,9.554085,0.1817157,10219.31
Belarus,2006,9.656769,0.1817157,10156.96
Belgium,1970,9.276006,0.3200998,9655.547
Belgium,1971,9.315472,0.3025273,9688.469
Belgium,1972,9.369264,0.2867995,9720.506
Belgium,1973,9.436549,0.2727726,9750.747
Belgium,1974,9.484027,0.2603175,9777.806
Belgium,1975,9.467537,0.2493193,9800.7
Belgium,1976,9.526963,0.2396752,9819.638
Belgium,1977,9.536997,0.2312941,9835.146
Belgium,1978,9.568646,0.2240957,9847.015
Belgium,1979,9.593349,0.2180093,9855.005
Belgium,1980,9.642481,0.2129736,9859.241
Belgium,1981,9.628901,0.2089356,9859.463
Belgium,1982,9.633194,0.2058505,9856.557
Belgium,1983,9.632566,0.2036808,9853.208
Belgium,1984,9.662094,0.2023958,9852.938
Belgium,1985,9.676103,0.2019718,9858.308
Belgium,1986,9.693504,0.2036336,9870.311
Belgium,1987,9.715414,0.2067398,9888.4
Belgium,1988,9.765443,0.208423,9911.641
Belgium,1989,9.801233,0.207058,9938.402
Belgium,1990,9.833995,0.2040723,9967.378
Belgium,1991,9.847928,0.2011104,9998.326
Belgium,1992,9.860608,0.199772,10031.36
Belgium,1993,9.845559,0.2012807,10065.88
Belgium,1994,9.872229,0.2055713,10101.23
Belgium,1995,9.889571,0.212324,10136.81
Belgium,1996,9.891905,0.2212418,10172.32
Belgium,1997,9.917803,0.2320273,10207.42
Belgium,1998,9.924071,0.2525412,10241.47
Belgium,1999,9.933205,0.2879092,10273.79
Belgium,2000,9.946441,0.3331496,10303.88
Belgium,2001,9.952908,0.3331496,10331.39
Belgium,2002,9.964298,0.3331496,10356.32
Belgium,2003,9.970559,0.3331496,10378.93
Belgium,2004,9.994846,0.3331496,10399.72
Belgium,2005,10.00174,0.3331496,10457.13
Belgium,2006,10.03256,0.3331496,10464.18
Belize,1970,7.691095,0.9035668,122.07
Belize,1971,7.749461,0.8904561,124.89
Belize,1972,7.783724,0.8776076,127.661
Belize,1973,7.819717,0.8685472,130.375
Belize,1974,7.850736,0.8613497,133.027
Belize,1975,7.870256,0.8535805,135.611
Belize,1976,7.848005,0.848251,138.135
Belize,1977,7.883552,0.8450985,140.578
Belize,1978,8.05652,0.8429676,142.937
Belize,1979,8.125986,0.8400469,145.205
Belize,1980,8.252076,0.8412091,144.416
Belize,1981,8.137288,0.8436588,149.201
Belize,1982,8.172488,0.845341,153.242
Belize,1983,8.113748,0.8472997,156.81
Belize,1984,8.019577,0.8446895,160.789
Belize,1985,7.8447,0.8536143,165.55
Belize,1986,7.908153,0.8522602,171.242
Belize,1987,7.947663,0.8517985,176.334
Belize,1988,7.975212,0.8549145,181.401
Belize,1989,8.038586,0.8687273,186.383
Belize,1990,8.12461,0.8576504,190.782
Belize,1991,8.101146,0.8545671,195.622
Belize,1992,8.175455,0.8482676,200.648
Belize,1993,8.212777,0.8638144,205.854
Belize,1994,8.24896,0.8756407,211.235
Belize,1995,8.263387,0.8827135,216.786
Belize,1996,8.232559,0.9102327,222.502
Belize,1997,8.228462,0.9036236,228.384
Belize,1998,8.232564,0.9093,234.43
Belize,1999,8.233933,0.9137163,240.64
Belize,2000,8.25095,0.9019386,247.009
